doc;authors;title;abstract;keywords;institution;language;status_article;pages;year;date
5683;Rodrigo Gasparoni Santos;TVX - Time and Versions in XML;The proposed work explores the application of temporal and versioning management techniques to the content of XML documents. Recently, many methods have been proposed to address this problem. These methods differ in many aspects, such as which XML objects should be temporalized, thus possessing each one a set of advantages and limitations. We present the TVX model, whose goal is to combine these techniques into a single approach its united use should supply great flexibility in the temporal treatment of XML documents. This will be accomplished through a high-level data model which can be easily implemented in XML format, along with XQuery-like query and data manipulation languages to handle the temporal XML documents. We also present a case study considering a historic query module over the text of the Brazilian Constitution, that demonstrates the employment of the TVX model in a real-life application.;;Instituto de Informática - UFRGS;pt_BR;Published;18;2008;2008-08-28 17:40:19
5683;Nina Edelweiss;TVX - Time and Versions in XML;The proposed work explores the application of temporal and versioning management techniques to the content of XML documents. Recently, many methods have been proposed to address this problem. These methods differ in many aspects, such as which XML objects should be temporalized, thus possessing each one a set of advantages and limitations. We present the TVX model, whose goal is to combine these techniques into a single approach its united use should supply great flexibility in the temporal treatment of XML documents. This will be accomplished through a high-level data model which can be easily implemented in XML format, along with XQuery-like query and data manipulation languages to handle the temporal XML documents. We also present a case study considering a historic query module over the text of the Brazilian Constitution, that demonstrates the employment of the TVX model in a real-life application.;;Instituto de Informática - UFRGS;pt_BR;Published;18;2008;2008-08-28 17:40:19
5683;Renata de Matos Galante;TVX - Time and Versions in XML;The proposed work explores the application of temporal and versioning management techniques to the content of XML documents. Recently, many methods have been proposed to address this problem. These methods differ in many aspects, such as which XML objects should be temporalized, thus possessing each one a set of advantages and limitations. We present the TVX model, whose goal is to combine these techniques into a single approach its united use should supply great flexibility in the temporal treatment of XML documents. This will be accomplished through a high-level data model which can be easily implemented in XML format, along with XQuery-like query and data manipulation languages to handle the temporal XML documents. We also present a case study considering a historic query module over the text of the Brazilian Constitution, that demonstrates the employment of the TVX model in a real-life application.;;Instituto de Informática - UFRGS;pt_BR;Published;18;2008;2008-08-28 17:40:19
5685;Dárlinton B. F. Carvalho;Uma Proposta de Framework para Desenvolvimento de Aplicações Paralelas com Mobilidade;This work proposes an object-oriented framework for the development of grid-distributed applications with mobility support. The development is based on the paradigm of multi-agent systems, using the JADE platform. Communication between applications is based on the MPI standard. The purpose of this work is to use platforms for developing agent-oriented systems without the need to program them directly. This makes it possible to facilitate the development of applications distributed in grids with support for the migration of processes between machines.;;Departamento de Informática, Pontifícia Universidade Católica do Rio de Janeiro;pt_BR;Published;13;2008;2008-08-29 11:43:20
5685;Carlos José P. de Lucena;Uma Proposta de Framework para Desenvolvimento de Aplicações Paralelas com Mobilidade;This work proposes an object-oriented framework for the development of grid-distributed applications with mobility support. The development is based on the paradigm of multi-agent systems, using the JADE platform. Communication between applications is based on the MPI standard. The purpose of this work is to use platforms for developing agent-oriented systems without the need to program them directly. This makes it possible to facilitate the development of applications distributed in grids with support for the migration of processes between machines.;;Departamento de Informática, Pontifícia Universidade Católica do Rio de Janeiro;pt_BR;Published;13;2008;2008-08-29 11:43:20
5685;Celso Carneiro Ribeiro;Uma Proposta de Framework para Desenvolvimento de Aplicações Paralelas com Mobilidade;This work proposes an object-oriented framework for the development of grid-distributed applications with mobility support. The development is based on the paradigm of multi-agent systems, using the JADE platform. Communication between applications is based on the MPI standard. The purpose of this work is to use platforms for developing agent-oriented systems without the need to program them directly. This makes it possible to facilitate the development of applications distributed in grids with support for the migration of processes between machines.;;Instituto de Computação, Universidade Federal Fluminense;pt_BR;Published;13;2008;2008-08-29 11:43:20
5690;Ana Carolina Lorena;Uma Introdução às Support Vector Machines;This paper presents an introduction to the Support Vector Machines (SVMs), a Machine Learning technique that has received increasing attention in the last years. The SVMs have been applied to several pattern recognition tasks, obtaining results superior to those of other learning techniques in various applications.;;Centro de Matemática, Computação e Cognição, Universidade Federal do ABC;pt_BR;Published;24;2008;2008-08-31 12:17:31
5690;André C. P. L. F. de Carvalho;Uma Introdução às Support Vector Machines;This paper presents an introduction to the Support Vector Machines (SVMs), a Machine Learning technique that has received increasing attention in the last years. The SVMs have been applied to several pattern recognition tasks, obtaining results superior to those of other learning techniques in various applications.;;Departamento de Ciências de Computação, Instituto de Ciências Matemáticas e de Computação, USP;pt_BR;Published;24;2008;2008-08-31 12:17:31
5691;Lucas Brusamarello;Técnicas probabilísticas para análise de yield em nível elétrico usando propagação de erros e derivadas numéricas;In nanometric technologies, variations in CMOS parameters are a challenge for designing circuits with appropriate yield. In this work we propose an efficient and accurate methodology for the statistical modeling of circuits. Error propagation and numerical techniques are applied for electrical-level modeling of random and systematic variations during the manufacturing process. The model considers covariances between parameters and spatial correlation, and has as output statistical estimators that can be used in higher-level tools, such as statistical delay analysis (SSTA) tools. Furthermore, we developed a methodology for the quantitative analysis of the contribution of each parameter to the variance of the circuit response. As case studies, we model the yield of a SRAM memory and a dynamic precharge NOR gate. In the first, we consider the impact of channel length and threshold voltage on SRAM memory cell access time. We develop a probabilistic model for the delay of a dynamic NOR with static keeper, considering variations in channel width and threshold voltage. We compared the results calculated by the proposed methodology with statistical data obtained from Monte Carlo simulations. We report a performance gain of 70×, with an error of less than 1%.;;Instituto de Informática, UFRGS;pt_BR;Published;20;2008;2008-08-31 14:42:32
5691;Roberto da Silva;Técnicas probabilísticas para análise de yield em nível elétrico usando propagação de erros e derivadas numéricas;In nanometric technologies, variations in CMOS parameters are a challenge for designing circuits with appropriate yield. In this work we propose an efficient and accurate methodology for the statistical modeling of circuits. Error propagation and numerical techniques are applied for electrical-level modeling of random and systematic variations during the manufacturing process. The model considers covariances between parameters and spatial correlation, and has as output statistical estimators that can be used in higher-level tools, such as statistical delay analysis (SSTA) tools. Furthermore, we developed a methodology for the quantitative analysis of the contribution of each parameter to the variance of the circuit response. As case studies, we model the yield of a SRAM memory and a dynamic precharge NOR gate. In the first, we consider the impact of channel length and threshold voltage on SRAM memory cell access time. We develop a probabilistic model for the delay of a dynamic NOR with static keeper, considering variations in channel width and threshold voltage. We compared the results calculated by the proposed methodology with statistical data obtained from Monte Carlo simulations. We report a performance gain of 70×, with an error of less than 1%.;;Instituto de Informática, UFRGS;pt_BR;Published;20;2008;2008-08-31 14:42:32
